Clusters,Pangenome Class,COG,Description,Enzyme Class,KEGG Orthology,KEGG Pathway,KEGG Reaction,Resistance Product,Resistance,Metabolism
cluster_4835,dispensable,E,succinyl-diaminopimelate desuccinylase,Succinyl-diaminopimelate desuccinylase[3.5.1.18],succinyl-diaminopimelate desuccinylase[K01439],Lysine biosynthesis[map00300]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Biosynthesis of amino acids[map01230],"N-Succinyl-LL-2,6-diaminoheptanedioate + H2O <=> Succinate + LL-2,6-Diaminoheptanedioate[R02734]",-,-,-
cluster_4836,dispensable,-,-,-,-,-,-,-,-,-
cluster_4837,dispensable,S,Calcineurin-like phosphoesterase superfamily domain,-,-,-,-,-,-,-
cluster_4838,dispensable,-,-,-,-,-,-,-,-,-
cluster_4839,dispensable,F,Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)),7-cyano-7-deazaguanine synthase[6.3.4.20],7-cyano-7-deazaguanine synthase[K06920],Folate biosynthesis[map00790]; Metabolic pathways[map01100],7-Carboxy-7-carbaguanine + Ammonia + ATP <=> 7-Cyano-7-carbaguanine + ADP + Orthophosphate + H2O[R09978],aluminum ATPase ,Metal: Aluminum resistance,-
cluster_4840,dispensable,S,CAAX protease self-immunity,-,CAAX protease family protein[K07052],-,-,-,-,-
cluster_4841,dispensable,G,Major Facilitator Superfamily,-,"MFS transporter, DHA2 family, multidrug resistance protein[K08170]",-,-,-,-,-
cluster_4842,dispensable,S,response to antibiotic,-,-,-,-,-,-,-
cluster_4843,dispensable,P,"COG1173 ABC-type dipeptide oligopeptide nickel transport systems, permease components",-,peptide/nickel transport system permease protein[K02034]; oligopeptide transport system permease protein[K15582]; nickel transport system permease protein[K15586],beta-Lactam resistance[map01501]; ABC transporters[map02010]; Quorum sensing[map02024],-,-,-,-
cluster_4844,dispensable,S,O-methyltransferase,Caffeoyl-CoA O-methyltransferase[2.1.1.104],caffeoyl-CoA O-methyltransferase[K00588],"Phenylalanine metabolism[map00360]; Phenylpropanoid biosynthesis[map00940]; Flavonoid biosynthesis[map00941]; Stilbenoid, diarylheptanoid and gingerol biosynthesis[map00945]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]",S-Adenosyl-L-methionine + Caffeoyl-CoA <=> S-Adenosyl-L-homocysteine + Feruloyl-CoA[R01942]; 5-Hydroxyferuloyl-CoA + S-Adenosyl-L-methionine <=> Sinapoyl-CoA + S-Adenosyl-L-homocysteine[R06578],-,-,-
cluster_4845,dispensable,S,membrane-bound metal-dependent,-,inner membrane protein[K07038],-,-,-,-,-
cluster_4846,dispensable,S,Protein of unknown function (DUF443),-,-,-,-,-,-,-
cluster_4847,dispensable,P,Belongs to the alkaline phosphatase family,Alkaline phosphatase[3.1.3.1],alkaline phosphatase[K01077],Thiamine metabolism[map00730]; Folate biosynthesis[map00790]; Metabolic pathways[map01100]; Two-component system[map02020],"Thiamin monophosphate + H2O <=> Thiamine + Orthophosphate[R02135]; 7,8-Dihydroneopterin 3'-triphosphate + 3 H2O <=> 7,8-Dihydroneopterin + 3 Orthophosphate[R04620]",-,-,-
cluster_4848,dispensable,L,hmm pf02796,-,-,-,-,-,-,-
cluster_4849,dispensable,-,-,-,-,-,-,-,-,-
cluster_4850,dispensable,EGP,proline betaine transporter,-,"MFS transporter, MHS family, alpha-ketoglutarate permease[K03761]; MFS transporter, MHS family, proline/betaine transporter[K03762]",-,-,-,-,-
cluster_4851,dispensable,S,SEFIR domain,-,-,-,-,-,-,-
cluster_4852,dispensable,-,-,-,-,-,-,-,-,-
cluster_4853,dispensable,L,"Bifunctional DNA primase/polymerase, N-terminal",-,-,-,-,-,-,-
cluster_4854,dispensable,S,Belongs to the GTP cyclohydrolase I type 2 NIF3 family,GTP cyclohydrolase I[3.5.4.16],GTP cyclohydrolase I[K22391],Folate biosynthesis[map00790]; Metabolic pathways[map01100],"GTP + H2O <=> Formamidopyrimidine nucleoside triphosphate[R00428]; 7,8-Dihydroneopterin 3'-triphosphate + H2O <=> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine[R04639]; Formamidopyrimidine nucleoside triphosphate + H2O <=> 2,5-Diaminopyrimidine nucleoside triphosphate + Formate[R05046]; 2,5-Diaminopyrimidine nucleoside triphosphate <=> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine[R05048]",-,-,-
cluster_4855,dispensable,D,Plasmid recombination enzyme,-,-,-,-,-,-,-
cluster_4856,dispensable,S,Protein of unknown function (DUF1474),-,-,-,-,-,-,-
cluster_4857,dispensable,IU,multivesicular body membrane disassembly,-,-,-,-,-,-,-
cluster_4858,dispensable,S,Domain of unknown function (DUF1413),-,-,-,-,-,-,-
cluster_4859,dispensable,M,membrane protein involved in D-alanine export,-,membrane protein involved in D-alanine export[K03739]; alginate O-acetyltransferase complex protein AlgI[K19294],Cationic antimicrobial peptide (CAMP) resistance[map01503]; Two-component system[map02020]; Staphylococcus aureus infection[map05150],-,-,-,-
cluster_4860,dispensable,-,-,-,-,-,-,-,-,-
cluster_4861,dispensable,S,"Protein of unknown function, DUF600",-,-,-,-,-,-,-
cluster_4862,dispensable,S,Pfam PF07252,-,-,-,-,-,-,-
cluster_4863,dispensable,S,CsbD-like,-,-,-,-,-,-,-
cluster_4864,dispensable,L,Initiator Replication protein,-,-,-,-,-,-,-
cluster_4865,dispensable,-,-,-,-,-,-,-,-,-
cluster_4866,dispensable,-,-,-,-,-,-,-,-,-
cluster_4867,dispensable,-,-,-,-,-,-,-,-,-
cluster_4868,dispensable,-,-,-,-,-,-,-,-,-
cluster_4869,dispensable,-,-,-,-,-,-,-,-,-
cluster_4870,dispensable,-,-,-,-,-,-,-,-,-
cluster_4871,dispensable,-,-,-,-,-,-,-,-,-
cluster_4872,dispensable,-,-,-,-,-,-,-,-,-
cluster_4873,dispensable,L,Belongs to the 'phage' integrase family,-,-,-,-,-,-,-
cluster_4874,dispensable,L,Initiator Replication protein,-,-,-,-,-,-,-
cluster_4875,dispensable,-,-,-,-,-,-,-,-,-
cluster_4876,dispensable,L,Staphylococcal protein of unknown function (DUF960),-,-,-,-,-,-,-
cluster_4877,dispensable,S,COG NOG15996 non supervised orthologous group,-,-,-,-,-,-,-
cluster_4878,dispensable,-,-,-,-,-,-,-,-,-
cluster_4879,dispensable,-,-,-,-,-,-,-,-,-
cluster_4880,dispensable,-,-,-,-,-,-,-,-,-
cluster_4881,dispensable,J,Phosphotransferase enzyme family,Streptomycin 3''-kinase[2.7.1.87]; Kanamycin kinase[2.7.1.95],"kanamycin kinase[K00897]; streptomycin 3""-kinase[K10673]; aminoglycoside 3'-phosphotransferase I[K19272]; aminoglycoside 3'-phosphotransferase III[K19299]; aminoglycoside 3'-phosphotransferase II[K19300]",-,-,aminoglycoside O-phosphotransferase,"Drug: Aminoglycoside (Amikacin, Kanamycin)",-
cluster_4882,dispensable,L,Transposase domain (DUF772),-,transposase[K07487],-,-,-,-,-
cluster_4883,dispensable,-,-,-,-,-,-,-,-,-
cluster_4884,dispensable,S,Putative HNHc nuclease,-,-,-,-,-,-,-
cluster_4885,dispensable,-,-,-,-,-,-,-,-,-
cluster_4886,dispensable,-,-,-,-,-,-,-,-,-
cluster_4887,dispensable,S,MazG nucleotide pyrophosphohydrolase domain,-,-,-,-,-,-,-
cluster_4888,dispensable,-,-,-,-,-,-,-,-,-
cluster_4889,dispensable,CO,Thioredoxin,-,-,-,-,-,-,-
cluster_4890,dispensable,-,-,-,-,-,-,-,-,-
cluster_4891,dispensable,F,belongs to the glutamate--cysteine ligase type 1 family. Type 2 subfamily,Glutamate--cysteine ligase[6.3.2.2]; Cyanophycin synthase (L-aspartate-adding)[6.3.2.29]; Cyanophycin synthase (L-arginine-adding)[6.3.2.30]; D-alanine--D-alanine ligase[6.3.2.4],glutamate--cysteine ligase[K01919]; D-alanine-D-alanine ligase[K01921]; cyanophycin synthetase[K03802]; energy-coupling factor transport system ATP-binding protein[K16786]; energy-coupling factor transport system ATP-binding protein[K16787],Cysteine and methionine metabolism[map00270]; Glutathione metabolism[map00480]; Peptidoglycan biosynthesis[map00550]; Metabolic pathways[map01100]; Vancomycin resistance[map01502]; ABC transporters[map02010],ATP + L-Glutamate + L-Cysteine <=> ADP + Orthophosphate + gamma-L-Glutamyl-L-cysteine[R00894]; ATP + 2 D-Alanine <=> ADP + Orthophosphate + D-Alanyl-D-alanine[R01150]; ATP + L-Glutamate + (S)-2-Aminobutanoate <=> ADP + Orthophosphate + gamma-L-Glutamyl-L-2-aminobutyrate[R10993],-,-,-
cluster_4892,dispensable,U,Relaxase/Mobilisation nuclease domain,-,uncharacterized protein[K07126],-,-,-,-,-
cluster_4893,dispensable,S,membrane,-,-,-,-,-,-,-
cluster_4894,dispensable,-,-,-,-,-,-,-,-,-
cluster_4895,dispensable,-,-,-,-,-,-,-,-,-
cluster_4896,dispensable,L,Belongs to the 'phage' integrase family,-,-,-,-,-,-,-
cluster_4897,dispensable,L,hmm pf02371,-,-,-,-,-,-,-
cluster_4898,dispensable,-,-,-,-,-,-,-,-,-
cluster_4899,dispensable,V,Protein of unknown function (DUF1643),Protein-serine/threonine phosphatase[3.1.3.16],serine/threonine protein phosphatase 1[K07313],-,-,-,-,-
cluster_4900,dispensable,-,-,-,-,-,-,-,-,-
cluster_4901,dispensable,L,"Subunit R is required for both nuclease and ATPase activities, but not for modification",Type I site-specific deoxyribonuclease[3.1.21.3],"type I restriction enzyme, R subunit[K01153]",-,-,-,-,-
cluster_4902,dispensable,-,-,-,-,-,-,-,-,-
cluster_4903,dispensable,L,"Resolvase, N terminal domain",-,-,-,-,-,-,-
cluster_4904,dispensable,J,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex,-,translation initiation factor IF-2[K02519],-,-,-,-,-
cluster_4905,dispensable,L,Recombinase,-,site-specific DNA recombinase[K06400],-,-,-,-,-
cluster_4906,dispensable,-,-,-,-,-,-,-,-,-
cluster_4907,dispensable,-,-,-,-,-,-,-,-,-
cluster_4908,dispensable,G,Acyltransferase family,-,acyltransferase[K13663],-,-,-,-,-
cluster_4909,dispensable,L,hmm pf02796,-,-,-,-,-,-,-
cluster_4910,dispensable,S,secretory antigen,N-acetylmuramoyl-L-alanine amidase[3.5.1.28],N-acetylmuramoyl-L-alanine amidase[K22409],-,-,-,-,-
cluster_4911,dispensable,Q,hydratase,-,"2-oxo-hept-3-ene-1,7-dioate hydratase[K02509]",Tyrosine metabolism[map00350]; Microbial metabolism in diverse environments[map01120],"2-Oxohept-3-enedioate + H2O <=> 2,4-Dihydroxyhept-2-enedioate[R04132]; 2-Hydroxyhepta-2,4-dienedioate + H2O <=> 2,4-Dihydroxyhept-2-enedioate[R06897]",-,-,-
cluster_4912,dispensable,L,COG3316 Transposase and inactivated derivatives,-,putative transposase[K07498],-,-,-,-,-
cluster_4913,dispensable,K,"Bacterial regulatory helix-turn-helix protein, lysR family",-,-,-,-,-,-,-
cluster_4914,dispensable,I,Glycerol-3-phosphate dehydrogenase,Glycerol-3-phosphate dehydrogenase (NAD(P)(+))[1.1.1.94],glycerol-3-phosphate dehydrogenase (NAD(P)+)[K00057],Glycerophospholipid metabolism[map00564]; Biosynthesis of secondary metabolites[map01110],sn-Glycerol 3-phosphate + NAD+ <=> Glycerone phosphate + NADH + H+[R00842]; sn-Glycerol 3-phosphate + NADP+ <=> Glycerone phosphate + NADPH + H+[R00844],-,-,-
cluster_4915,dispensable,-,-,-,-,-,-,-,-,-
cluster_4916,dispensable,-,-,-,-,-,-,-,-,-
cluster_4917,dispensable,S,"Protein of unknown function, DUF536",-,-,-,-,-,-,-
cluster_4918,dispensable,-,-,-,-,-,-,-,-,-
cluster_4919,dispensable,K,Lactose phosphotransferase system repressor,-,"DeoR family transcriptional regulator, aga operon transcriptional repressor[K02081]; DeoR family transcriptional regulator, lactose phosphotransferase system repressor[K02530]; DeoR family transcriptional regulator, fructose operon transcriptional repressor[K03436]",-,-,-,-,-
cluster_4920,dispensable,S,Antibiotic biosynthesis monooxygenase,Aminoacyl-tRNA hydrolase[3.1.1.29],"peptidyl-tRNA hydrolase, PTH1 family[K01056]",-,-,-,-,-
cluster_4921,dispensable,L,terminase small subunit,-,phage terminase small subunit[K07474],-,-,-,-,-
cluster_4922,dispensable,H,"Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate",Ketol-acid reductoisomerase (NADP(+))[1.1.1.86],ketol-acid reductoisomerase[K00053],"Valine, leucine and isoleucine biosynthesis[map00290]; Pantothenate and CoA biosynthesis[map00770]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; 2-Oxocarboxylic acid metabolism[map01210]; Biosynthesis of amino acids[map01230]","2-Acetolactate + NADPH + H+ <=> 2,3-Dihydroxy-3-methylbutanoate + NADP+[R03051]; (R)-2,3-Dihydroxy-3-methylbutanoate + NADP+ <=> (S)-2-Acetolactate + NADPH + H+[R04439]; (R)-2,3-Dihydroxy-3-methylbutanoate + NADP+ <=> 3-Hydroxy-3-methyl-2-oxobutanoic acid + NADPH + H+[R04440]; (R)-2,3-Dihydroxy-3-methylpentanoate + NADP+ <=> (R)-3-Hydroxy-3-methyl-2-oxopentanoate + NADPH + H+[R05068]; (S)-2-Aceto-2-hydroxybutanoate <=> (R)-3-Hydroxy-3-methyl-2-oxopentanoate[R05069]; (S)-2-Acetolactate <=> 3-Hydroxy-3-methyl-2-oxobutanoic acid[R05071]",-,-,-
cluster_4923,dispensable,-,-,-,-,-,-,-,-,-
cluster_4924,dispensable,S,Protein of unknown function (DUF1474),-,-,-,-,-,-,-
cluster_4925,dispensable,S,Protein of unknown function (DUF2750),-,-,-,-,-,-,-
cluster_4926,dispensable,-,-,-,-,-,-,-,-,-
cluster_4927,dispensable,-,-,-,-,-,-,-,-,-
cluster_4928,dispensable,S,Stage II sporulation protein M,-,-,-,-,-,-,-
cluster_4929,dispensable,P,Rhodanese Homology Domain,Hydroxyacylglutathione hydrolase[3.1.2.6]; C-terminal processing peptidase[3.4.21.102],hydroxyacylglutathione hydrolase[K01069]; carboxyl-terminal processing protease[K03797],Pyruvate metabolism[map00620],(R)-S-Lactoylglutathione + H2O <=> Glutathione + (R)-Lactate[R01736],-,-,-
cluster_4930,dispensable,-,-,-,-,-,-,-,-,-
cluster_4931,dispensable,-,-,-,-,-,-,-,-,-
cluster_4932,dispensable,-,-,-,-,-,-,-,-,-
cluster_4933,dispensable,-,-,-,-,-,-,-,-,-
cluster_4934,dispensable,L,Domain of unknown function (DUF927),-,-,-,-,-,-,-
cluster_4935,dispensable,S,Staphylococcus haemolytic protein,-,-,-,-,-,-,-
cluster_4936,dispensable,K,Helix-turn-helix XRE-family like proteins,-,-,-,-,-,-,-
cluster_4937,dispensable,K,Helix-turn-helix domain,-,-,-,-,-,-,-
cluster_4938,dispensable,-,-,-,-,-,-,-,-,-
cluster_4939,dispensable,-,-,-,-,-,-,-,-,-
cluster_4940,dispensable,-,-,-,-,-,-,-,-,-
cluster_4941,dispensable,L,Initiator Replication protein,-,-,-,-,-,-,-
cluster_4942,dispensable,K,"helix_turn_helix, Arsenical Resistance Operon Repressor",-,"ArsR family transcriptional regulator, lead/cadmium/zinc/bismuth-responsive transcriptional repressor[K21903]",-,-,-,-,-
cluster_4943,dispensable,O,Thioredoxin,-,-,-,-,-,-,-
cluster_4944,dispensable,S,"Protein of unknown function, DUF536",-,-,-,-,-,-,-
cluster_4945,dispensable,-,-,-,-,-,-,-,-,-
cluster_4946,dispensable,V,beta-lactamase,Beta-lactamase[3.5.2.6],beta-lactamase class C[K01467]; beta-lactamase class A[K17836]; beta-lactamase class A BlaZ[K18766]; beta-lactamase class A CTX-M[K18767]; beta-lactamase class A KPC[K18768],Penicillin and cephalosporin biosynthesis[map00311]; beta-Lactam resistance[map01501]; Two-component system[map02020],Penicillin + H2O <=> Penicilloic acid[R06363],penicillin-hydrolyzing class A beta-lactamase,Drug: Beta-lactam,-
cluster_4947,dispensable,L,COG3316 Transposase and inactivated derivatives,-,putative transposase[K07498],-,-,-,-,-
cluster_4948,dispensable,-,-,-,-,-,-,-,-,-
cluster_4949,dispensable,M,Belongs to the staphylococcal tandem lipoprotein family,-,-,-,-,-,-,-
cluster_4950,dispensable,S,Phage gp6-like head-tail connector protein,-,-,-,-,-,-,-
cluster_4951,dispensable,-,-,-,-,-,-,-,-,-
cluster_4952,dispensable,-,-,-,-,-,-,-,-,-
cluster_4953,dispensable,V,COG0732 Restriction endonuclease S subunits,Type I site-specific deoxyribonuclease[3.1.21.3],"type I restriction enzyme, S subunit[K01154]",-,-,-,-,-
cluster_4954,dispensable,S,Protein of unknown function (DUF4065),-,-,-,-,-,-,-
cluster_4955,dispensable,-,-,-,-,-,-,-,-,-
cluster_4956,dispensable,S,Domain of unknown function (DUF4145),-,-,-,-,-,-,-
cluster_4957,dispensable,S,Intron encoded nuclease repeat motif,-,-,-,-,-,-,-
cluster_4958,dispensable,S,Protein of unknown function (DUF4231),-,-,-,-,-,-,-
cluster_4959,dispensable,D,Belongs to the FtsK SpoIIIE SftA family,-,"DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family[K03466]",-,-,-,-,-
cluster_4960,dispensable,S,Replication initiator protein A (RepA) N-terminus,-,-,-,-,-,-,-
cluster_4961,dispensable,L,hmm pf02371,-,-,-,-,-,-,-
cluster_4962,dispensable,L,hmm pf02371,-,-,-,-,-,-,-
cluster_4963,dispensable,L,"Resolvase, N terminal domain",-,-,-,-,-,-,-
cluster_4964,dispensable,L,Initiator Replication protein,-,-,-,-,-,-,-
cluster_4965,dispensable,G,Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone,Glucose-6-phosphate dehydrogenase (NAD(P)(+))[1.1.1.363]; Glucose-6-phosphate dehydrogenase (NADP(+))[1.1.1.49],glucose-6-phosphate 1-dehydrogenase[K00036],Pentose phosphate pathway[map00030]; Glutathione metabolism[map00480]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200],"D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+[R00835]; beta-D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+[R02736]; beta-D-Glucose 6-phosphate + NAD+ <=> D-Glucono-1,5-lactone 6-phosphate + NADH + H+[R10907]",-,-,-
cluster_4966,dispensable,M,Haloacid dehalogenase-like hydrolase,-,-,-,-,-,-,-
cluster_4967,dispensable,S,Domain of unknown function (DUF334),-,-,-,-,-,-,-
cluster_4968,dispensable,S,Accessory Sec secretory system ASP3,-,accessory secretory protein Asp3[K12270],-,-,-,-,-
cluster_4969,dispensable,E,"Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate",Amino-acid N-acetyltransferase[2.3.1.1]; Glutamate N-acetyltransferase[2.3.1.35]; Acetylglutamate kinase[2.7.2.8],glutamate N-acetyltransferase / amino-acid N-acetyltransferase[K00620]; acetylglutamate kinase[K00930],Arginine biosynthesis[map00220]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; 2-Oxocarboxylic acid metabolism[map01210]; Biosynthesis of amino acids[map01230],Acetyl-CoA + L-Glutamate <=> CoA + N-Acetyl-L-glutamate[R00259]; N-Acetylornithine + L-Glutamate <=> L-Ornithine + N-Acetyl-L-glutamate[R02282]; ATP + N-Acetyl-L-glutamate <=> ADP + N-Acetyl-L-glutamate 5-phosphate[R02649],-,-,-
cluster_4970,dispensable,-,-,-,-,-,-,-,-,-
cluster_4971,dispensable,O,PFAM glycoside hydrolase family 39,-,adhesin/invasin[K13735]; large repetitive protein[K20276]; trimeric autotransporter adhesin[K21449],Quorum sensing[map02024]; Bacterial invasion of epithelial cells[map05100],-,-,-,-
cluster_4972,dispensable,-,-,-,-,-,-,-,-,-
cluster_4973,dispensable,D,acetyltransferases and hydrolases with the alpha beta hydrolase fold,Triacylglycerol lipase[3.1.1.3],triacylglycerol lipase[K01046],Glycerolipid metabolism[map00561]; Metabolic pathways[map01100],"Triacylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + Fatty acid[R02250]; 1,2-Diacyl-sn-glycerol + H2O <=> 1-Acylglycerol + Fatty acid[R02687]",-,-,-
cluster_4974,dispensable,K,"COG1595 DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",-,"RNA polymerase sigma-70 factor, ECF subfamily[K03088]",-,-,-,-,-
cluster_4975,dispensable,-,-,-,-,-,-,-,-,-
cluster_4976,dispensable,-,-,-,-,-,-,-,-,-
cluster_4977,dispensable,S,Pfam PF07252,-,-,-,-,-,-,-
cluster_4978,dispensable,E,Catalyzes the NADPH-dependent reduction of N-acetyl-5- glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde,N-acetyl-gamma-glutamyl-phosphate reductase[1.2.1.38],N-acetyl-gamma-glutamyl-phosphate reductase[K00145],Arginine biosynthesis[map00220]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; 2-Oxocarboxylic acid metabolism[map01210]; Biosynthesis of amino acids[map01230],N-Acetyl-L-glutamate 5-semialdehyde + Orthophosphate + NADP+ <=> N-Acetyl-L-glutamate 5-phosphate + NADPH + H+[R03443],-,-,-
cluster_4979,dispensable,C,Belongs to the zinc-containing alcohol dehydrogenase family. Quinone oxidoreductase subfamily,Alcohol dehydrogenase[1.1.1.1]; NADPH:quinone reductase[1.6.5.5],alcohol dehydrogenase[K00001]; NADPH:quinone reductase[K00344],Glycolysis / Gluconeogenesis[map00010]; Fatty acid degradation[map00071]; Tyrosine metabolism[map00350]; Chloroalkane and chloroalkene degradation[map00625]; Naphthalene degradation[map00626]; Retinol metabolism[map00830]; Metabolism of xenobiotics by cytochrome P450[map00980]; Drug metabolism - cytochrome P450[map00982]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Degradation of aromatic compounds[map01220],"Primary alcohol + NAD+ <=> Aldehyde + NADH + H+[R00623]; Ethanol + NAD+ <=> Acetaldehyde + NADH + H+[R00754]; Retinol + NAD+ <=> Retinal + NADH + H+[R02124]; 3alpha,7alpha,26-Trihydroxy-5beta-cholestane + NAD+ <=> 3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al + NADH + H+[R04805]; 3,4-Dihydroxyphenylethyleneglycol + NAD+ <=> 3,4-Dihydroxymandelaldehyde + NADH + H+[R04880]; trans-3-Chloro-2-propene-1-ol + NAD+ <=> trans-3-Chloroallyl aldehyde + NADH + H+[R05233]; cis-3-Chloro-2-propene-1-ol + NAD+ <=> cis-3-Chloroallyl aldehyde + NADH + H+[R05234]; 1-Hydroxymethylnaphthalene + NAD+ <=> 1-Naphthaldehyde + NADH + H+[R06917]; (2-Naphthyl)methanol + NAD+ <=> 2-Naphthaldehyde + NADH + H+[R06927]; Chloral hydrate + NADH + H+ <=> Trichloroethanol + NAD+ + H2O[R07105]; Aldophosphamide + NADH + H+ <=> Alcophosphamide + NAD+[R08281]; 2-Phenyl-1,3-propanediol monocarbamate + NAD+ <=> 3-Carbamoyl-2-phenylpropionaldehyde + NADH + H+[R08306]; 4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ <=> 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+[R08310]",-,-,-
cluster_4980,dispensable,S,YolD-like protein,-,-,-,-,-,-,-
cluster_4981,dispensable,DM,Glucan-binding protein C,DNA-directed DNA polymerase[2.7.7.7],DNA polymerase III subunit gamma/tau[K02343]; surface protein G[K14195]; aggregation substance[K20382],Purine metabolism[map00230]; Pyrimidine metabolism[map00240]; Metabolic pathways[map01100]; Quorum sensing[map02024]; DNA replication[map03030]; Mismatch repair[map03430]; Homologous recombination[map03440]; Staphylococcus aureus infection[map05150],dATP + DNA <=> Diphosphate + DNA[R00375]; dGTP + DNA <=> Diphosphate + DNA[R00376]; dCTP + DNA <=> Diphosphate + DNA[R00377]; dTTP + DNA <=> Diphosphate + DNA[R00378],-,-,-
cluster_4982,dispensable,S,Domain of unknown function (DUF4355),-,-,-,-,-,-,-
cluster_4983,dispensable,L,Critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has a DNA unwinding activity characteristic of a DNA helicase with a 3'- to 5'- polarity. Unwinds branched duplex DNA (Y-DNA),DNA helicase[3.6.4.12],ATP-dependent DNA helicase RecG[K03655],Homologous recombination[map03440],-,-,-,-
cluster_4984,dispensable,V,"ABC transporter, ATP-binding protein",-,putative ABC transport system ATP-binding protein[K02003],-,-,-,-,-
cluster_4985,dispensable,S,bacteriocin-associated integral membrane protein,-,putative ABC transport system permease protein[K02004],-,-,-,-,-
cluster_4986,dispensable,E,Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline,Ornithine carbamoyltransferase[2.1.3.3],ornithine carbamoyltransferase[K00611],Arginine biosynthesis[map00220]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Biosynthesis of amino acids[map01230],Carbamoyl phosphate + L-Ornithine <=> Orthophosphate + L-Citrulline[R01398],-,-,-
cluster_4987,dispensable,L,DNA-invertase Bin3,-,-,-,-,-,-,-
cluster_4988,dispensable,S,YibE F-like protein,-,-,-,-,-,-,-
cluster_4989,dispensable,S,Type III restriction,Type III site-specific deoxyribonuclease[3.1.21.5],type III restriction enzyme[K01156],-,-,-,-,-
cluster_4990,dispensable,J,Ribosomal protein S1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase[1.17.7.4],small subunit ribosomal protein S1[K02945]; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase[K03527],Terpenoid backbone biosynthesis[map00900]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Ribosome[map03010],1-Hydroxy-2-methyl-2-butenyl 4-diphosphate + 2 Reduced ferredoxin + 2 H+ <=> Isopentenyl diphosphate + 2 Oxidized ferredoxin + H2O[R05884]; Dimethylallyl diphosphate + 2 Oxidized ferredoxin + H2O <=> 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate + 2 Reduced ferredoxin + 2 H+[R08210],-,-,-
cluster_4991,dispensable,K,"QacR-like protein, C-terminal region",-,-,-,-,drug and biocide MFS efflux regulator,Biocide; Drug: Drug and biocide resistance,-
cluster_4992,dispensable,-,-,-,-,-,-,-,-,-
cluster_4993,dispensable,-,-,-,-,-,-,-,-,-
cluster_4994,dispensable,L,Recombinase zinc beta ribbon domain,-,-,-,-,-,-,-
cluster_4995,dispensable,M,Belongs to the staphylococcal tandem lipoprotein family,-,-,-,-,-,-,-
