Clusters,Pangenome Class,COG,Description,Enzyme Class,KEGG Orthology,KEGG Pathway,KEGG Reaction,Resistance Product,Resistance,Metabolism
cluster_453,core,S,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity",-,photosynthetic reaction center H subunit[K13991],Two-component system[map02020],-,-,-,-
cluster_454,core,K,Transcription regulator of the Arc MetJ class,-,-,-,-,-,-,-
cluster_455,core,S,B3 4 domain,-,-,-,-,-,-,-
cluster_456,core,K,"Bacterial regulatory proteins, tetR family",-,-,-,-,-,-,-
cluster_457,core,EH,Branched-chain amino acid aminotransferase 4-amino-4-deoxychorismate lyase,Branched-chain-amino-acid transaminase[2.6.1.42]; Aminodeoxychorismate lyase[4.1.3.38],branched-chain amino acid aminotransferase[K00826]; 4-amino-4-deoxychorismate lyase[K02619],"Cysteine and methionine metabolism[map00270]; Valine, leucine and isoleucine degradation[map00280]; Valine, leucine and isoleucine biosynthesis[map00290]; Pantothenate and CoA biosynthesis[map00770]; Folate biosynthesis[map00790]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; 2-Oxocarboxylic acid metabolism[map01210]; Biosynthesis of amino acids[map01230]",L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate[R01090]; L-Valine + 2-Oxoglutarate <=> 3-Methyl-2-oxobutanoic acid + L-Glutamate[R01214]; L-Isoleucine + 2-Oxoglutarate <=> (S)-3-Methyl-2-oxopentanoic acid + L-Glutamate[R02199]; 4-Amino-4-deoxychorismate <=> 4-Aminobenzoate + Pyruvate[R05553]; (S)-2-Aminobutanoate + 2-Oxoglutarate <=> 2-Oxobutanoate + L-Glutamate[R10991],-,-,-
cluster_458,core,K,Transcriptional regulator,-,deoxyribonucleoside regulator[K05346],-,-,-,-,-
cluster_459,core,O,OsmC-like protein,-,-,-,-,-,-,-
cluster_460,core,G,Class II Aldolase and Adducin N-terminal domain,L-fuculose-phosphate aldolase[4.1.2.17]; L-ribulose-5-phosphate 4-epimerase[5.1.3.4],L-fuculose-phosphate aldolase[K01628]; L-ribulose-5-phosphate 4-epimerase[K03077],Pentose and glucuronate interconversions[map00040]; Fructose and mannose metabolism[map00051]; Ascorbate and aldarate metabolism[map00053]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120],L-Fuculose 1-phosphate <=> Glycerone phosphate + (S)-Lactaldehyde[R02262]; L-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate[R05850],-,-,-
cluster_461,core,K,transcriptional regulator,-,"DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor[K02444]",-,-,-,-,-
cluster_462,dispensable,D,"Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine",Hypoxanthine phosphoribosyltransferase[2.4.2.8]; tRNA(Ile)-lysidine synthetase[6.3.4.19],hypoxanthine phosphoribosyltransferase[K00760]; tRNA(Ile)-lysidine synthase[K04075]; bifunctional protein TilS/HprT[K15780],Purine metabolism[map00230]; Drug metabolism - other enzymes[map00983]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate[R00190]; IMP + Diphosphate <=> Hypoxanthine + 5-Phospho-alpha-D-ribose 1-diphosphate[R01132]; GMP + Diphosphate <=> Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate[R01229]; Xanthosine 5'-phosphate + Diphosphate <=> Xanthine + 5-Phospho-alpha-D-ribose 1-diphosphate[R02142]; 6-Mercaptopurine + 5-Phospho-alpha-D-ribose 1-diphosphate <=> 6-Thioinosine-5'-monophosphate + Diphosphate[R08237]; 6-Methylmercaptopurine + 5-Phospho-alpha-D-ribose 1-diphosphate <=> 6-Methylthiopurine 5'-monophosphate ribonucleotide + Diphosphate[R08238]; Thioguanine + 5-Phospho-alpha-D-ribose 1-diphosphate <=> 6-Thioguanosine monophosphate + Diphosphate[R08245]; [tRNA(Ile2)]-cytidine34 + L-Lysine + ATP <=> [tRNA(Ile2)]-lysidine34 + AMP + Diphosphate + H2O[R09597],-,-,-
cluster_463,core,S,ATPases associated with a variety of cellular activities,-,ABC-2 type transport system ATP-binding protein[K01990],-,-,-,-,-
cluster_464,core,K,"Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair",Repressor LexA[3.4.21.88],repressor LexA[K01356]; DNA polymerase V[K03503]; uncharacterized protein[K07005],-,-,-,-,-
cluster_465,core,K,"Bacterial regulatory proteins, tetR family",-,-,-,-,-,-,-
cluster_466,core,D,Ftsk_gamma,-,"DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family[K03466]",-,-,-,-,-
cluster_467,core,O,Glycoprotease family,N(6)-L-threonylcarbamoyladenine synthase[2.3.1.234],N6-L-threonylcarbamoyladenine synthase[K01409]; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB[K14742],-,L-Threonylcarbamoyladenylate + tRNA adenine <=> AMP + N6-L-Threonylcarbamoyladenine in tRNA[R10648],-,-,-
cluster_468,core,E,glycine betaine,-,glycine betaine/proline transport system permease protein[K02001]; glycine betaine/proline transport system substrate-binding protein[K02002],ABC transporters[map02010],-,-,-,-
cluster_469,core,V,"AAA domain, putative AbiEii toxin, Type IV TA system",ABC-type phosphate transporter[3.6.3.27]; ABC-type tungstate transporter[3.6.3.55],ABC-2 type transport system ATP-binding protein[K01990]; tungstate transport system ATP-binding protein[K06857],ABC transporters[map02010],ATP + H2O + Tungstate <=> ADP + Orthophosphate + Tungstate[R10531],-,-,-
cluster_470,core,P,Cation efflux family,-,cobalt-zinc-cadmium efflux system protein[K16264],-,-,-,-,-
cluster_471,core,-,-,-,-,-,-,-,-,-
cluster_472,core,I,Belongs to the CDP-alcohol phosphatidyltransferase class-I family,Cardiolipin synthase (CMP-forming)[2.7.8.41]; CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase[2.7.8.5],CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase[K00995]; cardiolipin synthase (CMP-forming)[K08744],Glycerophospholipid metabolism[map00564]; Metabolic pathways[map01100],CDP-diacylglycerol + sn-Glycerol 3-phosphate <=> CMP + Phosphatidylglycerophosphate[R01801]; Phosphatidylglycerol + CDP-diacylglycerol <=> Cardiolipin + CMP[R02030],-,-,-
cluster_473,core,-,-,-,-,-,-,-,-,-
cluster_474,core,H,Involved in the biosynthesis of porphyrin-containing compound,-,-,-,-,-,-,-
cluster_475,core,Q,Multicopper oxidase,Nitrite reductase (NO-forming)[1.7.2.1],nitrite reductase (NO-forming)[K00368],Nitrogen metabolism[map00910]; Microbial metabolism in diverse environments[map01120],Nitric oxide + H2O + Ferricytochrome c <=> Nitrite + Ferrocytochrome c + H+[R00783]; Nitric oxide + H2O + Oxidized azurin <=> Nitrite + Reduced azurin + H+[R00785],-,-,-
cluster_476,core,P,Periplasmic binding protein,-,iron complex transport system substrate-binding protein[K02016],ABC transporters[map02010],-,-,-,-
cluster_477,core,G,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,Protein-N(pi)-phosphohistidine--galactitol phosphotransferase[2.7.1.200],galactitol PTS system EIIB component[K02774],Galactose metabolism[map00052]; Metabolic pathways[map01100]; Phosphotransferase system (PTS)[map02060],Galactitol + Protein N(pi)-phospho-L-histidine <=> Galactitol 1-phosphate + Protein histidine[R05570],-,-,-
cluster_478,core,E,"Thiamine pyrophosphate enzyme, central domain","3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)[3.7.1.22]","3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)[K03336]",Inositol phosphate metabolism[map00562]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120],"3D-3,5/4-Trihydroxycyclohexane-1,2-dione + H2O <=> 5-Deoxy-D-glucuronate[R08603]",-,-,-
cluster_479,core,E,Belongs to the argininosuccinate synthase family. Type 2 subfamily,Argininosuccinate synthase[6.3.4.5],argininosuccinate synthase[K01940],"Arginine biosynthesis[map00220]; Alanine, aspartate and glutamate metabolism[map00250]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Biosynthesis of amino acids[map01230]",ATP + L-Citrulline + L-Aspartate <=> AMP + Diphosphate + N-(L-Arginino)succinate[R01954],-,-,-
cluster_480,core,L,MgsA AAA+ ATPase C terminal,-,putative ATPase[K07478],-,-,-,-,-
cluster_481,core,J,Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs,23S rRNA (adenine(2503)-C(2))-methyltransferase[2.1.1.192],23S rRNA (adenine2503-C2)-methyltransferase[K06941],-,-,-,-,-
cluster_482,core,K,Cell envelope-related transcriptional attenuator domain,-,-,-,-,-,-,-
cluster_483,core,G,"mannose-6-phosphate isomerase, class I",Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase[1.14.13.81]; Mannose-6-phosphate isomerase[5.3.1.8]; Phosphomannomutase[5.4.2.8],mannose-6-phosphate isomerase[K01809]; phosphomannomutase[K01840]; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase[K04035],Fructose and mannose metabolism[map00051]; Amino sugar and nucleotide sugar metabolism[map00520]; Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],D-Mannose 6-phosphate <=> D-Mannose 1-phosphate[R01818]; D-Mannose 6-phosphate <=> beta-D-Fructose 6-phosphate[R01819]; Magnesium protoporphyrin monomethyl ester + NADPH + H+ + Oxygen <=> 13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester + NADP+ + H2O[R06265]; 13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester + NADPH + H+ + Oxygen <=> 13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester + NADP+ + 2 H2O[R06266]; 13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester + NADPH + H+ + Oxygen <=> Divinylprotochlorophyllide + NADP+ + 2 H2O[R06267]; Magnesium protoporphyrin monomethyl ester + 3 NADPH + 3 H+ + 3 Oxygen <=> Divinylprotochlorophyllide + 3 NADP+ + 5 H2O[R10068],-,-,-
cluster_484,core,S,Transmembrane domain of unknown function (DUF3566),-,-,-,-,-,-,-
cluster_485,core,P,Chloride channel,-,"chloride channel protein, CIC family[K03281]",-,-,-,-,-
cluster_486,core,K,transcriptional regulator,-,-,-,-,-,-,-
cluster_487,core,E,Fumarase C C-terminus,Aspartate ammonia-lyase[4.3.1.1],aspartate ammonia-lyase[K01744],"Alanine, aspartate and glutamate metabolism[map00250]; Metabolic pathways[map01100]",L-Aspartate <=> Fumarate + Ammonia[R00490],-,-,-
cluster_488,dispensable,H,subunit ChlI,Magnesium chelatase[6.6.1.1],magnesium chelatase subunit D[K03404]; magnesium chelatase subunit I[K03405],Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],ATP + Protoporphyrin + Magnesium cation + H2O <=> ADP + Orthophosphate + Magnesium protoporphyrin + 2 H+[R03877],-,-,-
cluster_489,core,-,-,-,-,-,-,-,-,-
cluster_490,core,-,-,-,-,-,-,-,-,-
cluster_491,dispensable,M,Belongs to the UDP-glucose GDP-mannose dehydrogenase family,UDP-N-acetylglucosamine 6-dehydrogenase[1.1.1.136]; UDP-N-acetyl-D-mannosamine dehydrogenase[1.1.1.336],UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase[K02472]; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase[K02474]; UDP-N-acetyl-D-glucosamine dehydrogenase[K13015],Amino sugar and nucleotide sugar metabolism[map00520]; Biofilm formation - Vibrio cholerae[map05111],UDP-N-acetyl-alpha-D-glucosamine + 2 NAD+ + H2O <=> UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate + 2 NADH + 2 H+[R00421]; UDP-N-acetyl-D-mannosamine + 2 NAD+ + H2O <=> UDP-N-acetyl-D-mannosaminouronate + 2 NADH + 2 H+[R03317]; UDP-N-acetyl-D-galactosamine + 2 NAD+ + H2O <=> UDP-N-acetyl-D-galactosaminuronic acid + 2 NADH + 2 H+[R06894],-,-,-
cluster_492,core,M,UDP-N-acetylglucosamine 2-epimerase,"UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)[5.1.3.14]; UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase[5.1.3.23]",UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing)[K01791]; UDP-GlcNAc3NAcA epimerase[K13019],Amino sugar and nucleotide sugar metabolism[map00520]; Metabolic pathways[map01100]; Biofilm formation - Vibrio cholerae[map05111],"UDP-N-acetyl-alpha-D-glucosamine <=> UDP-N-acetyl-D-mannosamine[R00420]; UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate <=> UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate[R09600]",-,-,-
cluster_493,core,M,Glycosyl transferases group 1,-,-,-,-,-,-,-
cluster_494,core,S,"ABC-type cobalt transport system, permease component",-,energy-coupling factor transport system permease protein[K16925],-,-,-,-,-
cluster_495,core,P,ATPases associated with a variety of cellular activities,-,energy-coupling factor transport system permease protein[K16785]; energy-coupling factor transport system ATP-binding protein[K16786]; energy-coupling factor transport system ATP-binding protein[K16787],ABC transporters[map02010],-,-,-,-
cluster_496,core,S,LUD domain,-,L-lactate dehydrogenase complex protein LldG[K00782]; L-lactate dehydrogenase complex protein LldF[K18929],-,-,-,-,-
cluster_497,core,C,"oxidase, subunit","Ubiquinol oxidase (electrogenic, proton-motive force generating)[1.10.3.14]",cytochrome bd ubiquinol oxidase subunit II[K00426],Oxidative phosphorylation[map00190]; Metabolic pathways[map01100]; Two-component system[map02020],2 Ubiquinol + Oxygen + 4 H+ <=> 2 Ubiquinone + 2 H2O + 4 H+[R11325],-,-,-
cluster_498,core,KLT,serine threonine protein kinase,Non-specific serine/threonine protein kinase[2.7.11.1],"serine/threonine protein kinase, bacterial[K08884]; eukaryotic-like serine/threonine-protein kinase[K12132]",-,-,-,-,-
cluster_499,core,-,-,-,-,-,-,-,-,-
cluster_500,core,S,YbaB/EbfC DNA-binding family,-,nucleoid-associated protein EbfC[K09747],-,-,-,-,-
cluster_501,core,F,Belongs to the purine pyrimidine phosphoribosyltransferase family,Hypoxanthine phosphoribosyltransferase[2.4.2.8]; tRNA(Ile)-lysidine synthetase[6.3.4.19],hypoxanthine phosphoribosyltransferase[K00760]; tRNA(Ile)-lysidine synthase[K04075]; bifunctional protein TilS/HprT[K15780],Purine metabolism[map00230]; Drug metabolism - other enzymes[map00983]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate[R00190]; IMP + Diphosphate <=> Hypoxanthine + 5-Phospho-alpha-D-ribose 1-diphosphate[R01132]; GMP + Diphosphate <=> Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate[R01229]; Xanthosine 5'-phosphate + Diphosphate <=> Xanthine + 5-Phospho-alpha-D-ribose 1-diphosphate[R02142]; 6-Mercaptopurine + 5-Phospho-alpha-D-ribose 1-diphosphate <=> 6-Thioinosine-5'-monophosphate + Diphosphate[R08237]; 6-Methylmercaptopurine + 5-Phospho-alpha-D-ribose 1-diphosphate <=> 6-Methylthiopurine 5'-monophosphate ribonucleotide + Diphosphate[R08238]; Thioguanine + 5-Phospho-alpha-D-ribose 1-diphosphate <=> 6-Thioguanosine monophosphate + Diphosphate[R08245]; [tRNA(Ile2)]-cytidine34 + L-Lysine + ATP <=> [tRNA(Ile2)]-lysidine34 + AMP + Diphosphate + H2O[R09597],-,-,-
cluster_502,core,-,-,-,-,-,-,-,-,-
cluster_503,core,S,Lsr2,-,-,-,-,-,-,-
cluster_504,core,O,"C-terminal, D2-small domain, of ClpB protein",-,ATP-dependent Clp protease ATP-binding subunit ClpC[K03696],Metabolic pathways[map01100],-,-,-,-
cluster_505,core,S,Protein of unknown function (DUF979),-,-,-,-,-,-,-
cluster_506,core,S,Protein of unknown function (DUF969),-,-,-,-,-,-,-
cluster_507,core,G,"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1",Protein-N(pi)-phosphohistidine--N-acetyl-D-glucosamine phosphotransferase[2.7.1.193],beta-glucoside PTS system EIIA component[K02755]; beta-glucoside PTS system EIICBA component[K02757]; sugar PTS system EIIA component[K02777],Glycolysis / Gluconeogenesis[map00010]; Starch and sucrose metabolism[map00500]; Amino sugar and nucleotide sugar metabolism[map00520]; Biofilm formation - Escherichia coli[map02026]; Phosphotransferase system (PTS)[map02060]; Biofilm formation - Vibrio cholerae[map05111],"Protein N(pi)-phospho-L-histidine + D-Glucose <=> Protein histidine + alpha-D-Glucose 6-phosphate[R02738]; alpha,alpha-Trehalose + Protein N(pi)-phospho-L-histidine <=> alpha,alpha'-Trehalose 6-phosphate + Protein histidine[R02780]; Protein N(pi)-phospho-L-histidine + Maltose <=> Protein histidine + Maltose 6'-phosphate[R04111]; Protein N(pi)-phospho-L-histidine + Salicin <=> Protein histidine + Salicin 6-phosphate[R04394]; Protein N(pi)-phospho-L-histidine + Arbutin <=> Protein histidine + Arbutin 6-phosphate[R05132]; Protein N(pi)-phospho-L-histidine + N-Acetyl-D-glucosamine <=> Protein histidine + N-Acetyl-D-glucosamine 6-phosphate[R05199]; N-Acetylmuramate + Protein N(pi)-phospho-L-histidine <=> N-Acetylmuramic acid 6-phosphate + Protein histidine[R08559]",-,-,-
cluster_508,core,H,Glutamate-1-semialdehyde aminotransferase,"Glutamate-1-semialdehyde 2,1-aminomutase[5.4.3.8]","glutamate-1-semialdehyde 2,1-aminomutase[K01845]",Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120],5-Aminolevulinate <=> (S)-4-Amino-5-oxopentanoate[R02272],-,-,-
cluster_509,core,H,Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX,Coproporphyrinogen III oxidase (coproporphyrin-forming)[1.3.3.15]; Protoporphyrinogen oxidase[1.3.3.4],protoporphyrinogen/coproporphyrinogen III oxidase[K00231],Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],Protoporphyrinogen IX + 3 Oxygen <=> Protoporphyrin + 3 Hydrogen peroxide[R03222]; Coproporphyrinogen III + 3 Oxygen <=> Coproporphyrin III + 3 Hydrogen peroxide[R04178],-,-,-
cluster_510,core,E,Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline,Pyrroline-5-carboxylate reductase[1.5.1.2],pyrroline-5-carboxylate reductase[K00286],Arginine and proline metabolism[map00330]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Biosynthesis of amino acids[map01230],L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+[R01248]; L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+[R01251]; Hydroxyproline + NAD+ <=> L-1-Pyrroline-3-hydroxy-5-carboxylate + NADH + H+[R03291]; Hydroxyproline + NADP+ <=> L-1-Pyrroline-3-hydroxy-5-carboxylate + NADPH + H+[R03293],-,-,-
cluster_511,core,P,Binding-protein-dependent transport system inner membrane component,-,phosphate transport system permease protein[K02037]; phosphate transport system permease protein[K02038],ABC transporters[map02010],-,-,-,-
cluster_512,core,P,probably responsible for the translocation of the substrate across the membrane,-,phosphate transport system permease protein[K02037]; phosphate transport system permease protein[K02038],ABC transporters[map02010],-,-,-,-
cluster_513,core,K,"Transcriptional regulatory protein, C terminal",-,-,-,-,-,-,-
cluster_514,core,J,"rejects L-amino acids rather than detecting D-amino acids in the active site. By recycling D-aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl-tRNA entities in vivo and helps enforce protein L-homochirality",-,D-aminoacyl-tRNA deacylase[K07560],-,-,-,-,-
cluster_515,core,S,Belongs to the GcvT family,Aminomethyltransferase[2.1.2.10],aminomethyltransferase[K00605]; tRNA-modifying protein YgfZ[K06980],"Glycine, serine and threonine metabolism[map00260]; Glyoxylate and dicarboxylate metabolism[map00630]; One carbon pool by folate[map00670]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Carbon metabolism[map01200]","Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH + H+[R01221]; Folinic acid <=> 5,10-Methenyltetrahydrofolate + H2O[R02300]; [Protein]-S8-aminomethyldihydrolipoyllysine + Tetrahydrofolate <=> Dihydrolipoylprotein + 5,10-Methylenetetrahydrofolate + Ammonia[R04125]",-,-,-
cluster_516,core,G,General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr),Phosphoenolpyruvate--protein phosphotransferase[2.7.3.9],phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)[K08483],Phosphotransferase system (PTS)[map02060],-,-,-,-
cluster_517,core,G,phosphocarrier protein hpr,-,beta-glucoside operon transcriptional antiterminator[K03488],-,-,-,-,-
cluster_518,core,T,"Transcriptional regulatory protein, C terminal",-,"two-component system, OmpR family, response regulator RegX3[K07776]",Two-component system[map02020],-,-,-,-
cluster_519,core,-,-,-,-,-,-,-,-,-
cluster_520,core,P,Binding-protein-dependent transport system inner membrane component,-,osmoprotectant transport system permease protein[K05846],ABC transporters[map02010],-,-,-,-
cluster_521,core,P,Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily,-,iron complex transport system permease protein[K02015],ABC transporters[map02010],-,-,-,-
cluster_522,core,P,Part of the energy-coupling factor (ECF) transporter complex CbiMNOQ involved in cobalt import,-,cobalt/nickel transport protein[K02009],ABC transporters[map02010],-,-,-,-
cluster_523,core,P,Part of an ABC transporter complex. Responsible for energy coupling to the transport system,Cobalt-precorrin-5B (C(1))-methyltransferase[2.1.1.195],cobalt/nickel transport system ATP-binding protein[K02006]; cobalt-precorrin-5B (C1)-methyltransferase[K02188]; energy-coupling factor transport system ATP-binding protein[K16786],Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; ABC transporters[map02010],Cobalt-precorrin 5B + S-Adenosyl-L-methionine <=> Cobalt-precorrin 6 + S-Adenosyl-L-homocysteine[R07773],-,-,-
cluster_524,core,H,"Precorrin-6y C5,15-methyltransferase","Precorrin-6B C(5,15)-methyltransferase (decarboxylating)[2.1.1.132]","precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase[K00595]",Porphyrin metabolism[map00860]; Metabolic pathways[map01100],2 S-Adenosyl-L-methionine + Precorrin 6Y <=> 2 S-Adenosyl-L-homocysteine + Precorrin 8X + CO2[R05149],-,-,-
cluster_525,core,H,Tetrapyrrole (Corrin/Porphyrin) Methylases,"Aerobic 5,6-dimethylbenzimidazole synthase[1.13.11.79]; Precorrin-2 dehydrogenase[1.3.1.76]; Uroporphyrinogen-III C-methyltransferase[2.1.1.107]; Uroporphyrinogen-III synthase[4.2.1.75]; Sirohydrochlorin cobaltochelatase[4.99.1.3]; Sirohydrochlorin ferrochelatase[4.99.1.4]","uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase[K02302]; uroporphyrin-III C-methyltransferase[K02303]; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase[K02304]; sirohydrochlorin cobaltochelatase[K03795]; 5,6-dimethylbenzimidazole synthase[K04719]; uroporphyrinogen III methyltransferase / synthase[K13542]",Riboflavin metabolism[map00740]; Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120],Siroheme + 2 H+ <=> Fe2+ + Sirohydrochlorin[R02864]; Hydroxymethylbilane <=> Uroporphyrinogen III + H2O[R03165]; 2 S-Adenosyl-L-methionine + Uroporphyrinogen III <=> 2 S-Adenosyl-L-homocysteine + Precorrin 2[R03194]; Precorrin 2 + NAD+ <=> Sirohydrochlorin + NADH + H+[R03947]; Sirohydrochlorin + Cobalt ion <=> Cobalt-sirohydrochlorin + 2 H+[R05807]; Reduced FMN + Oxygen <=> Dimethylbenzimidazole + D-Erythrose 4-phosphate + H2O[R09083],-,-,-
cluster_526,core,S,Permease family,-,adenine/guanine/hypoxanthine permease[K06901],-,-,-,-,-
cluster_527,core,-,-,-,-,-,-,-,-,-
cluster_528,core,G,Belongs to the metallo-dependent hydrolases superfamily. NagA family,N-acetylglucosamine-6-phosphate deacetylase[3.5.1.25],N-acetylglucosamine-6-phosphate deacetylase[K01443],Amino sugar and nucleotide sugar metabolism[map00520],N-Acetyl-D-glucosamine 6-phosphate + H2O <=> D-Glucosamine 6-phosphate + Acetate[R02059],-,-,-
cluster_529,core,CO,Belongs to the thioredoxin family,Thioredoxin-disulfide reductase[1.8.1.9],thioredoxin reductase (NADPH)[K00384]; thioredoxin 1[K03671],Selenocompound metabolism[map00450]; NOD-like receptor signaling pathway[map04621],Thioredoxin + NADP+ <=> Thioredoxin disulfide + NADPH + H+[R02016]; Hydrogen selenide + 3 NADP+ + 3 H2O <=> Selenite + 3 NADPH + 5 H+[R03596]; 2 NADPH + 2 H+ + Methylselenic acid <=> 2 NADP+ + 2 H2O + Methaneselenol[R09372],-,-,-
cluster_530,core,G,UTP--glucose-1-phosphate uridylyltransferase,UTP--glucose-1-phosphate uridylyltransferase[2.7.7.9],UTP--glucose-1-phosphate uridylyltransferase[K00963],Pentose and glucuronate interconversions[map00040]; Galactose metabolism[map00052]; Starch and sucrose metabolism[map00500]; Amino sugar and nucleotide sugar metabolism[map00520]; Metabolic pathways[map01100],UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose[R00289],-,-,-
cluster_531,core,H,MoaE protein,Molybdopterin-synthase adenylyltransferase[2.7.7.80]; Molybdopterin synthase sulfurtransferase[2.8.1.11]; Molybdopterin synthase[2.8.1.12],molybdopterin synthase catalytic subunit[K03635]; sulfur-carrier protein adenylyltransferase/sulfurtransferase[K21147],Folate biosynthesis[map00790]; Metabolic pathways[map01100]; Sulfur relay system[map04122],Sulfur-carrier protein + ATP <=> Adenylyl-[sulfur-carrier protein] + Diphosphate[R07459]; [Enzyme]-S-sulfanylcysteine + Adenylyl-[sulfur-carrier protein] + Reduced acceptor <=> AMP + Thiocarboxy-[sulfur-carrier protein] + [Enzyme]-cysteine + Acceptor[R07461]; Precursor Z + 2 Thiocarboxy-[sulfur-carrier protein] <=> Molybdopterin + 2 Sulfur-carrier protein[R09395],-,-,-
cluster_532,core,C,Respiratory nitrate reductase beta C-terminal,Nitrate reductase (quinone)[1.7.5.1],"nitrate reductase / nitrite oxidoreductase, beta subunit[K00371]",Nitrogen metabolism[map00910]; Microbial metabolism in diverse environments[map01120]; Two-component system[map02020],Nitrite + Acceptor + H2O <=> Nitrate + Reduced acceptor[R00798]; 2 Ferricytochrome c + Nitrite + H2O <=> Nitrate + 2 Ferrocytochrome c + 2 H+[R01106]; Nitrate + Hydroquinone <=> Nitrite + Quinone + H2O[R09497],-,-,Nitrogen Cycle: Nitrate reduction
